UF,Municipio,PIB,Populacao
MG,Oliveira,  1.105.051 ,  2.829 
MG,Oliveira Fortes,  40.532 ,  41.987 
MG,Onça de Pitangui,  64.915 ,  2.128 
MG,Oratórios,  70.864 ,  3.155 
MG,Orizânia,  122.059 ,  4.671 
MG,Ouro Branco,  8.842.769 ,  8.138 
MG,Ouro Fino,  934.189 ,  40.220 
MG,Ouro Preto,  9.520.035 ,  33.938 
MG,Ouro Verde de Minas,  67.814 ,  74.824 
MG,Padre Carvalho,  58.192 ,  5.895 
MG,Padre Paraíso,  213.919 ,  6.466 
MG,Paineiras,  82.825 ,  20.346 
MG,Pains,  531.428 ,  6.098 
MG,Pai Pedro,  58.645 ,  4.440 
MG,Paiva,  27.301 ,  8.308 
MG,Palma,  103.673 ,  1.517 
MG,Palmópolis,  63.874 ,  6.606 
MG,Papagaios,  374.343 ,  5.196 
MG,Paracatu,  7.198.617 ,  15.922 
MG,Pará de Minas,  4.025.297 ,  95.616 
MG,Paraguaçu,  650.754 ,  94.539 
MG,Paraisópolis,  592.590 ,  21.693 
MG,Paraopeba,  918.487 ,  21.353 
MG,Passabém,  23.595 ,  24.854 
MG,Passa Quatro,  472.423 ,  16.439 
MG,Passa Tempo,  480.322 ,  8.031 
MG,Passa Vinte,  42.087 ,  2.024 
MG,Passos,  3.024.709 ,  1.619 
MG,Patis,  55.018 ,  115.970 
MG,Patos de Minas,  6.145.130 ,  6.031 
MG,Patrocínio,  3.678.404 ,  154.641 
MG,Patrocínio do Muriaé,  116.065 ,  92.116 
MG,Paula Cândido,  136.815 ,  5.744 
MG,Paulistas,  67.350 ,  9.597 
MG,Pavão,  93.078 ,  4.794 
MG,Peçanha,  270.148 ,  8.390 
MG,Pedra Azul,  401.448 ,  17.534 
MG,Pedra Bonita,  96.477 ,  24.333 
MG,Pedra do Anta,  57.727 ,  7.157 
MG,Pedra do Indaiá,  116.154 ,  2.960 
MG,Pedra Dourada,  42.293 ,  3.977 
MG,Pedralva,  182.678 ,  2.559 
MG,Pedras de Maria da Cruz,  109.590 ,  11.098 
MG,Pedrinópolis,  204.115 ,  12.313 
MG,Pedro Leopoldo,  1.939.056 ,  3.651 
MG,Pedro Teixeira,  30.268 ,  65.149 
MG,Pequeri,  62.540 ,  1.804 
MG,Pequi,  85.506 ,  3.340 
MG,Perdigão,  227.190 ,  4.457 
MG,Perdizes,  1.629.092 ,  11.994 
MG,Perdões,  627.041 ,  16.469 
MG,Periquito,  111.678 ,  21.577 
MG,Pescador,  47.101 ,  6.738 
MG,Piau,  92.672 ,  4.261 
MG,Piedade de Caratinga,  140.778 ,  2.719 
